년-월-일,출처 플랫폼,카테고리,성별,연령대,직업군,지역_시,지역_구,제목,접속 시간,사용 시간,검색사이트 URL,언론사 ID,언론사 이름,기사번호,플랫폼 기준 색션,매칭 키워드 
2025-01-01,다음,뉴스,여성,40대,화이트칼라,서울,서초구,바나나 한 송이를 새벽 배송으로 주문한다는 것 [노동의 표정],2025-01-01 15:39,32,https://v.daum.net/v/20250101125521827,683,더스쿠프,2.03E+16,,바나나
2025-01-01,다음,뉴스,여성,50대,전업주부,경기,안양시 만안구,바나나 한 송이를 새벽 배송으로 주문한다는 것 [노동의 표정],2025-01-01 15:24,6,https://v.daum.net/v/20250101125521827,683,더스쿠프,2.03E+16,,바나나
2025-01-01,다음,뉴스,남성,50대,블루칼라,대전,유성구,바나나 한 송이를 새벽 배송으로 주문한다는 것 [노동의 표정],2025-01-01 15:31,11,https://v.daum.net/v/20250101125521827,683,더스쿠프,2.03E+16,,바나나
2025-01-01,다음,뉴스,여성,50대,전업주부,경기,안양시 만안구,바나나 한 송이를 새벽 배송으로 주문한다는 것 [노동의 표정],2025-01-01 13:30,36,https://v.daum.net/v/20250101125521827,683,더스쿠프,2.03E+16,,바나나
2025-01-01,다음,뉴스,남성,60대,,경기,수원시 팔달구,바나나 한 송이를 새벽 배송으로 주문한다는 것 [노동의 표정],2025-01-01 13:32,5,https://v.daum.net/v/20250101125521827,683,더스쿠프,2.03E+16,,바나나
2025-01-01,다음,뉴스,여성,60대,전업주부,부산,강서구,바나나 한 송이를 새벽 배송으로 주문한다는 것 [노동의 표정],2025-01-01 13:53,57,https://v.daum.net/v/20250101125521827,683,더스쿠프,2.03E+16,,바나나
2025-01-01,다음,뉴스,여성,50대,전업주부,울산,남구,바나나 한 송이를 새벽 배송으로 주문한다는 것 [노동의 표정],2025-01-01 14:15,63,https://v.daum.net/v/20250101125521827,683,더스쿠프,2.03E+16,,바나나
2025-01-01,네이버,뉴스,여성,50대,전업주부,경북,구미시,바나나 한 송이를 새벽 배송으로 주문한다는 것 [노동의 표정],2025-01-01 22:30,9,https://n.news.naver.com/article/665/0000004272?type=editn,683,더스쿠프,4272,경제,바나나
2025-01-01,기타,뉴스,남성,40대,화이트칼라,서울,강북구,바나나 한 송이를 새벽 배송으로 주문한다는 것 [노동의 표정] < Editor’s Pick < In-Depth < 기사본문 - 더스쿠프,2025-01-01 14:13,2,https://www.thescoop.co.kr/news/articleView.html?idxno=304464&kakao_from=mainnews,683,더스쿠프,,,바나나
2025-01-01,다음,뉴스,여성,50대,전업주부,강원,춘천시,부모 배추 싣던 중 화물차 안에서 2세 여아 숨져,2025-01-01 16:02,21,https://v.daum.net/v/20250101111606364,323,국민일보,2.03E+16,,배추
2025-01-01,다음,뉴스,여성,30대,,경기,수원시 영통구,부모 배추 싣던 중 화물차 안에서 2세 여아 숨져,2025-01-01 15:45,25,https://v.daum.net/v/20250101111606364,323,국민일보,2.03E+16,,배추
2025-01-01,다음,뉴스,여성,40대,화이트칼라,서울,서초구,부모 배추 싣던 중 화물차 안에서 2세 여아 숨져,2025-01-01 15:33,13,https://v.daum.net/v/20250101111606364,323,국민일보,2.03E+16,,배추
2025-01-01,다음,뉴스,남성,50대,화이트칼라,인천,남동구,부모 배추 싣던 중 화물차 안에서 2세 여아 숨져,2025-01-01 15:10,29,https://v.daum.net/v/20250101111606364,323,국민일보,2.03E+16,,배추
2025-01-01,다음,뉴스,남성,60대,화이트칼라,경기,김포시,부모 배추 싣던 중 화물차 안에서 2세 여아 숨져,2025-01-01 14:29,2,https://v.daum.net/v/20250101111606364,323,국민일보,2.03E+16,,배추
2025-01-01,다음,뉴스,여성,40대,화이트칼라,서울,강서구,부모 배추 싣던 중 화물차 안에서 2세 여아 숨져,2025-01-01 14:38,21,https://v.daum.net/v/20250101111606364,323,국민일보,2.03E+16,,배추
2025-01-01,다음,뉴스,여성,50대,전업주부,울산,남구,부모 배추 싣던 중 화물차 안에서 2세 여아 숨져,2025-01-01 14:12,11,https://v.daum.net/v/20250101111606364,323,국민일보,2.03E+16,,배추
2025-01-01,기타,뉴스,여성,30대,,대구,동구,부모 배추 싣던 중 화물차 안에서 2세 여아 숨져-국민일보,2025-01-01 18:31,26,https://www.kmib.co.kr/article/view.asp?arcid=0024485360&code=61121111&sid1=soc,323,국민일보,,,배추
2025-01-01,기타,뉴스,여성,60대,,대전,동구,부모 배추 싣던 중 화물차 안에서 2세 여아 숨져-국민일보,2025-01-01 17:49,20,https://www.kmib.co.kr/article/view.asp?arcid=0024485360&code=61121111&sid1=soc&cp=nv1,323,국민일보,,,배추
2025-01-01,기타,뉴스,여성,50대,화이트칼라,서울,양천구,부모 배추 싣던 중 화물차 안에서 2세 여아 숨져-국민일보,2025-01-01 22:59,28,https://www.kmib.co.kr/article/view.asp?arcid=0024485360&code=61121111&sid1=soc&cp=du1,323,국민일보,,,배추
2025-01-01,네이버,뉴스,남성,50대,블루칼라,광주,남구,"알리익스프레스 ""수수료 정책 변경?신규 입점자 90일간 0%""",2025-01-01 00:55,1,https://n.news.naver.com/article/031/0000897753?sid=101,1340,아이뉴스24,897753,경제,수수
2025-01-01,다음,뉴스,남성,40대,블루칼라,충남,아산시,"알리익스프레스, K베뉴 수수료 면제 정책 끝…2월부터 유료 전환",2025-01-01 05:57,10,https://v.daum.net/v/20241231142135138,491,뉴스1,2.02E+16,,수수
2025-01-01,네이버,뉴스,여성,40대,화이트칼라,대전,대덕구,알리익스프레스 수수료 무료 끝…내년 2월 1일부터 유료 전환,2025-01-01 01:17,4,https://n.news.naver.com/article/011/0004434389?cds=news_my,1092,서울경제,4434389,경제,수수
2025-01-01,네이버,뉴스,여성,50대,전업주부,서울,광진구,"양천구, 기초수급자 주택임대차 중개수수료 지원 범위 확대",2025-01-01 06:18,14,https://n.news.naver.com/article/001/0015134583?sid=103,1446,연합뉴스,15134583,"사회,생활,경제",수수
2025-01-01,네이버,뉴스,여성,50대,기타,서울,강서구,"홈플러스, 2025 AI 물가안정 프로젝트…양파·생굴 할인",2025-01-01 09:22,4,https://n.news.naver.com/article/001/0015136005?sid=101,1446,연합뉴스,15136005,"경제,생활",양파
2025-01-01,네이버,뉴스,여성,50대,기타,서울,강서구,"홈플러스, 2025 AI 물가안정 프로젝트…양파·생굴 할인",2025-01-01 18:15,22,https://n.news.naver.com/article/001/0015136005?sid=103,1446,연합뉴스,15136005,"경제,생활",양파
2025-01-02,네이버,뉴스,남성,50대,블루칼라,경북,포항시 북구,"""깻잎은 한국인만 먹습니다""…외국인을 위한 한국 소개서",2025-01-02 08:43,57,https://n.news.naver.com/article/421/0007999044?cds=news_my,491,뉴스1,7999044,생활,깻잎
2025-01-02,다음,뉴스,남성,60대,,경기,수원시 팔달구,"""변비로 고생하는 당신""… '항문 건강' 위해 꼭 알아야 할 10가지",2025-01-02 18:50,106,https://v.daum.net/v/20250102104414556,2048,코메디닷컴,2.03E+16,,가지
2025-01-02,다음,뉴스,여성,60대,전업주부,서울,영등포구,"""변비로 고생하는 당신""… '항문 건강' 위해 꼭 알아야 할 10가지",2025-01-02 21:42,154,https://v.daum.net/v/20250102104414556,2048,코메디닷컴,2.03E+16,,가지
2025-01-02,다음,뉴스,여성,60대,전업주부,서울,영등포구,"""변비로 고생하는 당신""… '항문 건강' 위해 꼭 알아야 할 10가지",2025-01-02 21:46,5,https://v.daum.net/v/20250102104414556,2048,코메디닷컴,2.03E+16,,가지
2025-01-02,네이버,뉴스,여성,30대,기타,경남,진주시,"""혈압 낮추고 혈당까지""...매일 아보카도 오일 한스푼, 어떤 변화가?",2025-01-02 10:53,28,https://n.news.naver.com/article/296/0000085375?cds=news_my,2048,코메디닷컴,85375,생활,아보카도
2025-01-02,네이버,뉴스,남성,30대,학생,경기,오산시,"""혈압 낮추고 혈당까지""...매일 아보카도 오일 한스푼, 어떤 변화가?",2025-01-02 15:17,112,https://n.news.naver.com/article/296/0000085375?cds=news_my,2048,코메디닷컴,85375,생활,아보카도
2025-01-02,다음,뉴스,여성,30대,화이트칼라,경기,하남시,[2025 경제정책]오렌지·바나나 싸진다…주말부부 각각 월세 세액공제,2025-01-02 12:10,27,https://v.daum.net/v/20250102104037217,1332,아시아경제,2.03E+16,,"오렌지,바나나"
2025-01-02,기타,뉴스,남성,50대,화이트칼라,인천,남동구,[맛대맛] ‘건강곡물’ 보리 vs 귀리…같은 듯 다른 매력 속으로,2025-01-02 10:30,29,https://www.nongmin.com/article/20220518355885,478,농민신문,,,"보리,귀리"
2025-01-02,기타,뉴스,남성,50대,화이트칼라,인천,남동구,[맛대맛] ‘건강곡물’ 보리 vs 귀리…같은 듯 다른 매력 속으로,2025-01-02 10:31,62,https://www.nongmin.com/article/20220518355885,478,농민신문,,,"보리,귀리"
2025-01-02,네이버,뉴스,여성,20대,,충북,청주시 상당구,[오물조물 우리곡물] 대파인 줄 알았는데 쫀득한 찹쌀빵…“농산물 쏙 빼닮았네”,2025-01-02 10:43,5,https://n.news.naver.com/article/662/0000059216,478,농민신문,59216,생활,대파
2025-01-02,네이버,뉴스,여성,60대,전업주부,부산,연제구,[오물조물 우리곡물] 대파인 줄 알았는데 쫀득한 찹쌀빵…“농산물 쏙 빼닮았네”,2025-01-02 17:00,5,https://n.news.naver.com/article/662/0000059216?cds=news_edit,478,농민신문,59216,생활,대파
2025-01-02,네이버,뉴스,여성,40대,기타,경기,화성시,[오물조물 우리곡물] 대파인 줄 알았는데 쫀득한 찹쌀빵…“농산물 쏙 빼닮았네”,2025-01-02 11:37,131,https://n.news.naver.com/article/662/0000059216?cds=news_edit,478,농민신문,59216,생활,대파
2025-01-02,네이버,뉴스,여성,40대,화이트칼라,서울,구로구,[오물조물 우리곡물] 대파인 줄 알았는데 쫀득한 찹쌀빵…“농산물 쏙 빼닮았네”,2025-01-02 10:51,1,https://n.news.naver.com/article/662/0000059216?cds=news_edit,478,농민신문,59216,생활,대파
2025-01-02,네이버,뉴스,여성,50대,,전북,남원시,‘국산 고추·배추 사라질라’ 기후 급변 대응 시급,2025-01-02 08:18,1,https://n.news.naver.com/article/056/0011867567?cds=news_my,2459,KBS,11867567,경제,"배추,고추,국산"
2025-01-02,네이버,뉴스,남성,10대,,경기,화성시,‘국산 고추·배추 사라질라’ 기후 급변 대응 시급,2025-01-02 01:20,9,https://n.news.naver.com/article/056/0011867499?cds=news_my,2459,KBS,11867499,경제,"배추,고추,국산"
2025-01-02,네이버,뉴스,여성,20대,,충북,청주시 상당구,‘아보카도 오일 한 스푼’ 이런 사람에게 좋다,2025-01-02 17:25,3,https://n.news.naver.com/article/020/0003607646?cds=news_my,752,동아일보,3607646,"생활,IT",아보카도
2025-01-02,네이버,뉴스,여성,30대,화이트칼라,대전,동구,“새해는 건강하게”… ‘피로’ 쫓는 음식 6가지,2025-01-02 05:31,18,https://n.news.naver.com/article/346/0000085559?cds=news_my,2318,헬스조선,85559,생활,가지
2025-01-02,네이버,뉴스,남성,50대,,전북,남원시,과일 강세' 연말 물가…고환율에 위협받는 새해 물가,2025-01-02 07:09,3,https://n.news.naver.com/article/057/0001864076?cds=news_my,2478,MBN,1864076,경제,과일
2025-01-02,기타,뉴스,여성,40대,전업주부,인천,중구,기억력 증진·퇴행성 치매 예방 ‘노루궁뎅이 버섯’ 맛있게 먹는 법?,2025-01-02 13:43,17,https://www.vegannews.co.kr/mobile/article.html?no=14513,3558,비건뉴스,,,버섯
2025-01-02,기타,뉴스,남성,60대,화이트칼라,부산,북구,"미국 아침식사 비용 올라도 너무 올라…계란 146%, 오렌지주스 18% ‘껑충’ - 매일경제",2025-01-02 11:07,5,https://m.mk.co.kr/news/world/11207943?kakao_from=mainnews,810,매일경제,,,오렌지
2025-01-02,네이버,뉴스,여성,50대,,경기,의정부시,바나나 한 송이를 새벽 배송으로 주문한다는 것 [노동의 표정],2025-01-02 11:23,32,https://n.news.naver.com/article/665/0000004272?type=editn&cds=news_edit,683,더스쿠프,4272,경제,바나나
2025-01-02,네이버,뉴스,여성,30대,화이트칼라,부산,강서구,"부모가 배추 수확하는 사이…두살배기 딸, 화물차 안에서 숨져",2025-01-02 10:41,19,https://n.news.naver.com/article/021/0002681390?cds=news_edit,865,문화일보,2681390,사회,배추
2025-01-02,네이버,뉴스,여성,20대,,충북,청주시 상당구,"부모가 배추 수확하는 사이…두살배기 딸, 화물차 안에서 숨져",2025-01-02 11:12,50,https://n.news.naver.com/article/021/0002681390?cds=news_edit,865,문화일보,2681390,사회,배추
2025-01-02,네이버,뉴스,여성,40대,화이트칼라,서울,강남구,"부모가 배추 수확하는 사이…두살배기 딸, 화물차 안에서 숨져",2025-01-02 12:18,4,https://n.news.naver.com/article/021/0002681390?cds=news_edit,865,문화일보,2681390,사회,배추
2025-01-02,네이버,뉴스,여성,40대,기타,부산,강서구,"부모가 배추 수확하는 사이…두살배기 딸, 화물차 안에서 숨져",2025-01-02 11:42,29,https://n.news.naver.com/article/021/0002681390?cds=news_edit,865,문화일보,2681390,사회,배추
2025-01-02,네이버,뉴스,여성,30대,화이트칼라,경기,군포시,"부모가 배추 수확하는 사이…두살배기 딸, 화물차 안에서 숨져",2025-01-02 09:27,42,https://n.news.naver.com/article/021/0002681390?cds=news_edit,865,문화일보,2681390,사회,배추
2025-01-02,네이버,뉴스,남성,60대,블루칼라,서울,영등포구,"부모가 배추 수확하는 사이…두살배기 딸, 화물차 안에서 숨져",2025-01-02 08:49,9,https://n.news.naver.com/article/021/0002681390?cds=news_edit,865,문화일보,2681390,사회,배추
2025-01-02,네이버,뉴스,여성,40대,화이트칼라,서울,강서구,"부모가 배추 수확하는 사이…두살배기 딸, 화물차 안에서 숨져",2025-01-02 09:25,25,https://n.news.naver.com/article/021/0002681390?cds=news_my,865,문화일보,2681390,사회,배추
2025-01-02,네이버,뉴스,여성,40대,기타,경기,화성시,"부모가 배추 수확하는 사이…두살배기 딸, 화물차 안에서 숨져",2025-01-02 12:31,39,https://n.news.naver.com/article/021/0002681390?ntype=RANKING,865,문화일보,2681390,사회,배추
2025-01-02,네이버,뉴스,남성,30대,,부산,동래구,"부모가 배추 수확하는 사이…두살배기 딸, 화물차 안에서 숨져",2025-01-02 06:47,2,https://n.news.naver.com/article/021/0002681390?type=editn&cds=news_edit,865,문화일보,2681390,사회,배추
2025-01-02,네이버,뉴스,여성,20대,화이트칼라,인천,서구,"부모가 배추 수확하는 사이…두살배기 딸, 화물차 안에서 숨져",2025-01-02 07:46,15,https://n.news.naver.com/article/021/0002681390?type=editn&cds=news_edit,865,문화일보,2681390,사회,배추
2025-01-02,네이버,뉴스,여성,40대,기타,경기,고양시 덕양구,"부모가 배추 수확하는 사이…두살배기 딸, 화물차 안에서 숨져",2025-01-02 08:58,12,https://n.news.naver.com/article/021/0002681390?type=editn&cds=news_edit,865,문화일보,2681390,사회,배추
2025-01-02,다음,뉴스,여성,50대,전업주부,서울,성북구,"부모가 배추 수확하는 사이…두살배기 딸, 화물차 안에서 숨져",2025-01-02 11:27,58,https://v.daum.net/v/20250102021509348,865,문화일보,2.03E+16,,배추
2025-01-02,다음,뉴스,남성,40대,화이트칼라,광주,북구,"부모가 배추 수확하는 사이…두살배기 딸, 화물차 안에서 숨져",2025-01-02 05:16,5,https://v.daum.net/v/20250102021509348,865,문화일보,2.03E+16,,배추
2025-01-02,다음,뉴스,여성,60대,화이트칼라,경기,안양시 동안구,"부모가 배추 수확하는 사이…두살배기 딸, 화물차 안에서 숨져",2025-01-02 06:54,81,https://v.daum.net/v/20250102021509348,865,문화일보,2.03E+16,,배추
2025-01-02,다음,뉴스,남성,40대,화이트칼라,서울,송파구,"부모가 배추 수확하는 사이…두살배기 딸, 화물차 안에서 숨져",2025-01-02 08:12,22,https://v.daum.net/v/20250102021509348,865,문화일보,2.03E+16,,배추
2025-01-02,다음,뉴스,남성,50대,화이트칼라,경북,포항시 남구,"부모가 배추 수확하는 사이…두살배기 딸, 화물차 안에서 숨져",2025-01-02 07:07,184,https://v.daum.net/v/20250102021509348,865,문화일보,2.03E+16,,배추
2025-01-02,네이버,뉴스,여성,50대,전업주부,경기,파주시,"부모가 배추 수확하는 사이…두살배기 딸, 화물차 안에서 숨져",2025-01-02 18:56,20,https://n.news.naver.com/article/021/0002681390?type=journalists,865,문화일보,2681390,사회,배추
2025-01-02,다음,뉴스,남성,40대,화이트칼라,경기,부천시 원미구,"부모가 배추 싣는 사이에···차 안 혼자 있던 두 살배기, 숨진 채 발견",2025-01-02 23:50,10,https://v.daum.net/v/20250102213022394,1092,서울경제,2.03E+16,,배추
2025-01-02,네이버,뉴스,여성,60대,,전북,전주시 완산구,"부모가 배추 싣는 사이에…차 안 혼자 있던 두 살배기, 숨진 채 발견",2025-01-02 22:23,72,https://n.news.naver.com/article/011/0004435191?sid=102&type=journalists&cds=news_edit,1092,서울경제,4435191,사회,배추
2025-01-02,기타,뉴스,여성,50대,화이트칼라,서울,구로구,부모 배추 싣던 중 화물차 안에서 2세 여아 숨져-국민일보,2025-01-02 00:41,26,https://www.kmib.co.kr/article/view.asp?arcid=0024485360&code=61121111&sid1=soc&cp=du1,323,국민일보,,,배추
