대분류,중분류,뉴스제목
경제,수수료/요금,"알리익스프레스, K베뉴 수수료 면제 정책 끝…2월부터 유료 전환"
경제,수수료/요금,알리익스프레스 수수료 무료 끝…내년 2월 1일부터 유료 전환
경제,수수료/요금,"양천구, 기초수급자 주택임대차 중개수수료 지원 범위 확대"
경제,물가/가격,"홈플러스, 2025 AI 물가안정 프로젝트…양파·생굴 할인"
기타,기타,"""""깻잎은 한국인만 먹습니다""""…외국인을 위한 한국 소개서"
건강,영양/의학,"""""변비로 고생하는 당신""""… '항문 건강' 위해 꼭 알아야 할 10가지"
건강,영양/의학,"""""혈압 낮추고 혈당까지""""...매일 아보카도 오일 한스푼, 어떤 변화가?"
정치,농정/정책,[2025 경제정책]오렌지·바나나 싸진다…주말부부 각각 월세 세액공제
농업/먹거리,농산물/작황,[맛대맛] '건강곡물' 보리 vs 귀리…같은 듯 다른 매력 속으로
농업/먹거리,농산물/작황,"[오물조물 우리곡물] 대파인 줄 알았는데 쫀득한 찹쌀빵…""농산물 쏙 빼닮았네"""
농업/먹거리,농산물/작황,'국산 고추·배추 사라질라' 기후 급변 대응 시급
생활,식품/음료,'아보카도 오일 한 스푼' 이런 사람에게 좋다
건강,영양/의학,"""새해는 건강하게""… '피로' 쫓는 음식 6가지"
경제,물가/가격,과일 강세' 연말 물가…고환율에 위협받는 새해 물가
건강,영양/의학,기억력 증진·퇴행성 치매 예방 '노루궁뎅이 버섯' 맛있게 먹는 법?
경제,물가/가격,"미국 아침식사 비용 올라도 너무 올라…계란 146%, 오렌지주스 18% '껑충' - 매일경제"
사회,사건/사고,"부모가 배추 수확하는 사이…두살배기 딸, 화물차 안에서 숨져"
농업/먹거리,농산물/작황,"부모가 배추 싣는 사이에···차 안 혼자 있던 두 살배기, 숨진 채 발견"
농업/먹거리,농산물/작황,"새해, 금연이 목표라면?…수분 섭취·검은콩 등 식단 조절 필수"
경제,수수료/요금,서학개미 열풍에 증권사 수수료 수익 '쑥'…국내 주식 따라잡는다
건강,영양/의학,염증완화에도 도움을 주며 적당히 먹는다면 몸에 좋은 노루궁뎅이버섯 효능 < 미노출 < 기사본문 - 내외경제TV
농업/먹거리,농산물/작황,"""""OO 보고 안 먹으면 늙는다""""?뜨끈한 대추차 한 잔 먹고 노화방지까지?"
사회,사건/사고,"""""기름값보다 싸잖아요""""…성심당 딸기시루 3배 웃돈 붙여 되팔고, 사고"
농업/먹거리,농산물/작황,[벼 재배면적 조정제] 전체 벼농가 대상…이행땐 혜택 제공도
농업/먹거리,농산물/작황,레드향' 등 만감류 열과 직접적 원인은 '시설 내 고온
경제,수수료/요금,"'배달의민족' 새 대표에 김범석…""중개수수료 상생안 차질 없이 실행"""
농업/먹거리,농산물/작황,강달러 호재에도 수출 농산물 '속빈 강정'
경제,수수료/요금,국내 주식시장서 바뀌는 3가지… 거래세·배당·공모펀드
농업/먹거리,농산물/작황,"들기름, 참기름, 땅콩기름 넣어 먹었더니...몸에 어떤 변화가?"
농업/먹거리,농산물/작황,"딸기. 귤도 '금값'.. """"폭염.열대야 탓"""""
경제,수수료/요금,메리츠證 '수수료 무료' 예탁자산 3조 돌파
농업/먹거리,농산물/작황,"양배추, 미리 썰어두면 '항암 성분' 날아간다 [건강한겨레]"
농업/먹거리,농산물/작황,올해부터 '성주참외' 스티커 없앤다…연간 123억원 절감
농업/먹거리,농산물/작황,요즘 2030 무섭게 홍삼 찾는다...노년층 전유물서 뒤바뀐 이유[비크닉]
농업/먹거리,농산물/작황,"진안군, 유용 미생물 6종 무상 공급…""""친환경 농산물 생산"""""
농업/먹거리,농산물/작황,[오늘의 와인] '100년을 살아도 꼿꼿한 포도나무처럼' 제라르 베르트랑 뀌베 100
농업/먹거리,농산물/작황,"[주말엔 음식] """"달달하고 맛있는 군고구마, 이때 먹으면 독 된다고?"""""
생활,레시피/요리,"""난 정말 요리 천재야""… '편스토랑' 이찬원, 히트 메뉴 2탄 '고추닭전' 공개 ""히트 예감"" [종합] - 이영원 기자 - 톱스타뉴스"
농업/먹거리,농산물/작황,"""딸애가 자꾸 딸기 딸기 거리는데…"" 머리 싸매는 주부들"
생활,식품/음료,⑨ 녹차밥 < 몸에 이로운 사찰음식 < 지난연재 < 기사본문 - 불교신문
생활,식품/음료,녹차 물로 밥 지었더니… '의외의' 효과
농업/먹거리,농산물/작황,"녹차물로 지은 밥, 일반 밥보다 폴리페놀 함량 40배 - 당신의 건강가이드 헬스조선"
농업/먹거리,농산물/작황,"마늘과 양파, '이렇게' 조리하면 트랜스지방 나온다?"
건강,영양/의학,"말차 vs 녹차… 비슷한 것 같은데, 건강 효과 어떻게 다를까?"
농업/먹거리,농산물/작황,맛과 건강을 더한 진도 대파의 매력 요리로 주목받아요
농업/먹거리,농산물/작황,"박지현 """"손질 대파 사면 마음 안 좋아""""(나 혼자 산다) [TV캡처]"
생활,생활정보,"백지영, 브로콜리 드레스 충격 ""스타일리스트가 안티냐고"" (살림남)"
경제,물가/가격,새해부터 물가 '비상'…치킨·커피·과자에 농산물까지 '껑충'
경제,수수료/요금,소상공인 카드 수수료 부담 줄자…무이자할부는 '실종'
건강,영양/의학,"수족냉증, 초기 감기에 특효! 제철 생강의 놀라운 효능 7 - 코메디닷컴"
농업/먹거리,농산물/작황,"수현 ""평생 고기 먹어본 적 없어""...새해에도 채소 가득, 이유는?"
농업/먹거리,농산물/작황,"이영자, 또 채소 씨 말린다..바질김치 이어 비늘김치→'파친놈' 전현무 '배친놈'으로('전참시')"
농업/먹거리,농산물/작황,"전현무, 캐릭터 욕심이 왜 이리 과해…파친놈 이어 이번엔 'Mr. 배추'라니('전참시')"
사회,사건/사고,중 허베이 야채시장 화재...8명 사망·15명 부상
경제,물가/가격,콩나물비빔밥 '골목안집' 서면 한복판서 이 가격에 이 맛을!
생활,식품/음료,"""""생강차, 요거트도?""""...술 마신 후 숙취 날리는 음식 8"
경제,물가/가격,"""""설 다가오는데"""" 머리 싸매는 주부들…배추 59%·무 77% `껑충`"
농업/먹거리,농산물/작황,`한파속 웨이팅`…성심당 딸기시루가 뭐길래[먹어보고서]
농업/먹거리,농산물/작황,"""겨울 딸기 좀 먹고 싶은데""…'충격' 과일·채소값 도대체 얼마길래"
농업/먹거리,농산물/작황,"""소고기뭇국 끓이기 겁난다""…설 코앞인데 채소·과일값 얼마나 올랐길래"
농업/먹거리,농산물/작황,"""여보, 나 겨울 딸기 먹고 싶은데""…'충격' 과일·채소값 도대체 얼마길래"
농업/먹거리,농산물/작황,"고추 말리던 곳이라더니... 무안공항 관제량, 울산의 3배 ↑"
기타,기타,고추장에도 '매운맛 등급'이 있다고?
경제,물가/가격,농산물 폭등에 유가·천연가스까지…에브리싱 랠리 덮치나
경제,물가/가격,배추·무값 두배 올랐다…설 앞두고 물가 고공행진
농업/먹거리,농산물/작황,"백지영, ♥정석원보다 딸 """"아픈 母 위해 딸기 준비...남편은 기억 안나"""" ('살림남') [종합]"
농업/먹거리,농산물/작황,"백지영 '사랑 안 해' 시절 파격 무대 의상 공개… """"인간 브로콜리"""""
경제,물가/가격,"새해에도 일부 농산물 가격 강세… 정부, 이번 주쯤 물가관리대책 발표"
농업/먹거리,농산물/작황,"선예, '이 채소'들로 해독…아이 셋 낳고도 날씬한 비결?"
경제,물가/가격,"설 앞두고 배추·무 가격 '껑충'…정부, 이번 주 물가 관리 대책 발표"
경제,물가/가격,설 앞두고 배추 59%·무 77% 올라‥이번주 물가관리 대책
생활,식품/음료,신장에 좋은 옥수수수염 차? 일부 사람은 주의 필요.. 대안은?
경제,물가/가격,"채소 들었다 놨다…""""장바구니에 담을 게 없네"""" 너무 오른 가격"
농업/먹거리,농산물/작황,콩나물밥-콩나물라면 먹었더니...몸에 어떤 변화가?
기타,기타,"""""오이 잘 씻어도 농약 남는다고?""""...껍질 꼭 벗기고 먹으라는데, 진짜?"
사회,사건/사고,"""""일만 하다 떠난 형, 허망해""""…목동깨비시장 돌진, 과일가게 유족 분통"
생활,레시피/요리,[SafeFood] 시금치·두부 요리 '오해와 진실' - 세이프타임즈
경제,물가/가격,"[기후는 말한다] 설 앞두고 배추·무 가격↑…""물가 관리 대책 마련"""
생활,생활정보,[리빙포인트] 우엉 고르는 요령
경제,물가/가격,[스타트경제] 설 앞두고 배추·무 가격 급등...장바구니 물가 비상
경제,물가/가격,"농식품부, ""배추·무 비축물량 풀고 할당관세 연장해 수급안정 총력"""
사회,단속/점검,"농식품장관 """"배추·무 수급관리 총력…사재기·담합 강력처벌"""""
경제,유통/프로모션,"농식품장관 ""배추·무 사재기·담합 강력처벌""...마트·시장선 40% 할인"
농업/먹거리,농산물/작황,똑똑한 과일 채소 보관법 8' 감자와 사과는 함께 보관한다?!
경제,유통/리테일,"롯데마트·롯데슈퍼, 신선식품 과일 품질 집중 개선 < 식품유통 < 산업경제 < 기사본문 - 소비자경제"
경제,수수료/요금,"리테일 사업에 힘 싣는 메리츠證, 국내·미국 주식 거래수수료 '0' 선언 - 아시아투데이"
정치,농정/정책,"배추, 무 값이 왜이래'..설 준비 '막막'한 주부들..정부 특단의 대책 내놓나"
농업/먹거리,농산물/작황,배추·무값 겁나네…중국산 또 들여오나
경제,물가/가격,"배추 59%↑·무 77%↑…정부, 이번주 물가관리 대책"
농업/먹거리,농산물/작황,배추 한 포기 5027원·무 1개 3206원… 1년새 2배 급등
산업,기술/산업,버섯 스티로폼·실시간 자막 안경… CES 출격하는 스타트업
경제,유통/프로모션,봄까지 여유롭게 즐기는 호텔가 딸기 프로모션 모음
생활,식품/음료,"비싼 올리브오일, '여기'에 보관했다간 금세 상한다"
경제,유통/프로모션,새콤달콤 과즙 톡톡 터지는 2025년 호텔 딸기 프로모션 < News < IDEA < 기사본문 - 트래비 매거진
경제,물가/가격,설 앞두고 배추·무 가격↑…이번 주 물가관리 대책 발표
경제,물가/가격,설 앞두고 배추 59%·무 77%↑…물가 대책 마련
경제,물가/가격,설 앞두고 일부 농산물 가격 '들썩'…배추 59%·무 77%·배 25%↑
기타,기타,"송가인 팬클럽, 진도군에 백미 100포대 기부"
농업/먹거리,농산물/작황,애도기간 열린 영동곶감축제…농산물 판매액 6억9천만원
경제,물가/가격,"여름 폭염으로 공급 줄어… 배추 가격 59%, 무 77% 올라"
경제,수수료/요금,예금보호한도 1억으로 상향… 중도상환수수료 최대 절반 인하 [마이머니]
농업/먹거리,농산물/작황,요새 제주관광객들이 한라봉?레드향 제치고 사온다는 제주 감귤 2종
농업/먹거리,농산물/작황,"이준구 """"한남동 해프닝, 하루아침에 국격이 '바나나공화국' 수준"""""
사회,사건/사고,"이준구 교수 """"영장까지 불법이라 우겨…국격 바나나공화국 수준으로 폭락"""""
농업/먹거리,농산물/작황,"이준구 교수 ""尹 법질서 부르짖더니…국격 바나나공화국 수준으로 폭락"""
산업,기업/산업동향,"인삼쌀국수' KAS홀딩스, 베트남 소비자보호협회 톱10 기업 선정"
농업/먹거리,농산물/작황,"임신 어려운 남성, 과일 먹을 때 '이것' 주의… 수정 성공률 떨어뜨려"
경제,정책/대책,"정부 """"설 앞두고 배추·무 공급 확대...사재기 처벌"""""
생활,레시피/요리,"주옥순 전 합덕읍 새마을부녀회장, 경로당에 수박 기부 < 읍면소식 < 뉴스 < 기사본문 - 당진시대"
경제,물가/가격,채소·과일값 급등…내수 최악인데 물가까지 불안해서야 [사설]
농업/먹거리,농산물/작황,한아름 논산 딸기랜드 논산딸기 날개를 달다
농업/먹거리,농산물/작황,"[게시판] 백두대간수목원, 계약재배 참여농가 14∼22일 모집"
농업/먹거리,농산물/작황,'하루에 채소 5인분' 먹었더니… '유방'에 일어난 건강한 변화
농업/먹거리,농산물/작황,"""그 많은 샤인머스캣이 설에 쏟아져 나오면 어쩌지?"" [남태령을 넘어①]"
농업/먹거리,농산물/작황,"""마늘은 기계로 못 심어··· 몸 힘드니 다들 시금치로 갈아타"" [남태령을 넘어①]"
경제,물가/가격,"배추·무 가격, 두 배 껑충.. 설 앞두고 소비자 '한숨'"
농업/먹거리,농산물/작황,"강수지, 혈당 조절 위해 '이 채소' 썰어 가지고 다녀… 정말 효과 좋을까?"
경제,수수료/요금,내 퇴직연금 관리도 안해주면서 수수료는 왜 떼가?
농업/먹거리,농산물/작황,울산서 지난해 생산ㆍ유통된 수산물ㆍ농산물 등 방사능 '안전'
생활,식품/음료,유럽산 홍차 제품들서 금속성이물 검출…판매중단 및 회수조치
농업/먹거리,농산물/작황,절임배추 주문해 김장 담근 농사꾼… '졌잘싸'
경제,물가/가격,폭설에 배추·무 피해 우려…농산물 가격 '들썩'
농업/먹거리,농산물/작황,혈압 고구마 : 네이버 검색
기타,기타,"""""망고 안 사와도 돼, 얼른 와""""…가슴 먹먹한 마지막 편지"
농업/먹거리,농산물/작황,"""""벌써 참외가 나왔다고?""""···성주 참외, 2025년 첫 출하"
농업/먹거리,농산물/작황,"[별별인생] 농작물 수분 첨병 역할 '벌' 살리는 명의…""후학 양성에 힘보탤 것"""
기타,기타,"""망고 안 사와도 돼, 얼른 와""… 꾹꾹 눌러쓴 마지막 편지 '가슴 먹먹'"
농업/먹거리,농산물/작황,"""젊은 당뇨환자 이렇게 많았다고?""…홍삼 보다 10배 잘 팔리는 이것"
농업/먹거리,농산물/작황,고르지 않아도 실패 없는 농산물' 위해 대형 마트가 도입한 이것
사회,사건/사고,김해 토마토 체험 농장서 화재…인명피해 없어
건강,영양/의학,다이어트 도움 되는 레몬 물… '이 물'에 우려야 좋아
산업,기업/산업동향,"레몬을 통째로...동아제약, '비타그란 유기농 레몬즙' 출시"
경제,유통/리테일,"롯데마트 """"AI 선별 과일 작년매출 100억원 돌파""""…내일농장 가동"
농업/먹거리,농산물/작황,무·배추·양배추…엽근채소값 당분간 강세 예상
산업,기업/산업동향,"영동 농산물 5종·와인터널, 8년 연속 로하스 인증"
농업/먹거리,농산물/작황,"이상순, ♥이효리 내조에 감동 ""기가 막힌 대추차 만들어줘"" (완벽한 하루)"
경제,유통/리테일,절대강자 바나나맛우유 제쳤다…외국인 韓편의점서 쓸어 담은 '이 간식'
농업/먹거리,농산물/작황,집밥 백선생' 초간단 어묵볶음…식용유에 오뎅 볶아 간장·설탕·양파·물 넣고 참기름으로 마무리 - 뉴스핌
건강,영양/의학,"홍삼, 기관지 염증 완화…가래 제거엔 '모과차'"
경제,유통/리테일,"""""바나나우유도 불닭도 아니네?""""…외국인이 편의점서 싹쓸이한 최애 간식은 '이것'"
농업/먹거리,농산물/작황,"""""산딸기 먹으며 버텼다""""…호주서 '실종 등산객' 2주 만에 발견"
농업/먹거리,농산물/작황,[리빙포인트] 보리차 끓일 땐 소금 약간
건강,영양/의학,"[밀당365]'레몬수' 좋다던데, 당뇨 환자 혈당도 낮춰주나요?"
경제,정책/대책,"[속보]당정 """"무·배추 등 16대 설 성수품 평시 대비 1.6배 공급 확대"""""
경제,정책/대책,"[속보] 당정 ""배추 등 16대 성수품 공급 물량 평시 대비 1.6배 확대"""
농업/먹거리,농산물/작황,"'생생정보' 여주 양촌지구 마늘빵·크림빵 맛집 위치는? ""신재훈 빵 명인의 베이커리카페"" - 장필구 기자 - 톱스타뉴스"
기타,기타,"""아기 가지고싶어서""… 우크라 피란민 엄마·할머니 죽인 독일 부부"
경제,수수료/요금,13일부터 금융권 중도상환수수료 절반 수준 인하
농업/먹거리,농산물/작황,"2024년 경북 사과 생산 큰 폭 증가···""""설 명절 수급 대란 없을 듯"""""
농업/먹거리,농산물/작황,480억짜리 황금 배추밭 공항' 오명…김제공항 부지 운명은 어디로?
경제,물가/가격,"김장 끝나도 金배추·金무…정부, 4월까지 배추·무 할당관세 적용"
농업/먹거리,농산물/작황,끊을 수 없는 감자튀김..유해물질 줄이는 법 5가지 - 코메디닷컴
농업/먹거리,농산물/작황,"당근, 토마토에 기름 넣어 익혀 먹었더니...몸에 어떤 변화가?"
농업/먹거리,농산물/작황,"마늘 잘못 보관하면 '곰팡이 독소' 먹을 수도… 다진 마늘, '이렇게' 보관해야"
경제,정책/대책,배추·무 등 성수품 공급 1.6배 늘리고 수급상황 매일 점검 [설연휴 민생 대책] - 파이낸셜뉴스
산업,기업/산업동향,부르스터스 '사과샤벳파인트' 출시
경제,유통/프로모션,온누리 상품권 할인율 10→15% 상향... 농산물 정부 보유물량 공급 4배 확대
농업/먹거리,농산물/작황,왜 하필 바나나일까…日 쇼핑 리스트에 꼭 있는 '도쿄 바나나'의 역사 [日요일日문화]
경제,유통/리테일,외국인 관광객의 편의점 픽 2위는 바나나맛우유…1위는?
사회,사법/치안,尹 탄핵서 등장한 '갈비탕'…'갈비 or 대파' 뭐가 빠졌나
경제,물가/가격,"이마트, 1월 가격파격 행사…2천원대 대파 등 50여종 할인"
경제,물가/가격,"이마트, 새해 첫 '가격파격 선언'...대파·만두 등 50여종 할인"
건강,영양/의학,한겨울 추위 이기는 건강식｜주간동아
농업/먹거리,농산물/작황,"호주서 실종됐던 등산객, 2주만에 발견…""""산딸기 먹으며 버텨"""""
농업/먹거리,농산물/작황,화성 주거·식물재배용 비닐하우스서 불…일가족 4명 대피
농업/먹거리,농산물/작황,[새해 달라지는 것] 농촌체류형 쉼터 도입·벼 재배면적 감축 | 연합뉴스
생활,레시피/요리,[송금희의 알수록 더 맛있는 반찬이야기] 더워야 뿌리가 여물고 꽃피는 연근 ? 존득존득한 연근조림 - 전국매일신문 - 전국의 생생한 뉴스를 '한눈에'
농업/먹거리,농산물/작황,설 대목 과일·채소 공급안정에 총력
경제,물가/가격,"""소고기 제친 과일, 설 선물 1위 등극"".. 고물가에 '가성비 전쟁' 시작됐다"
국제,해외동향,"깻잎 싸먹었는데 '대마 삼겹살'이라니…국정원, 해외여행 중 마약연루 주의 경보 - 뉴스핌"
경제,수수료/요금,"난국 속 시름하는 자영업자들, 배달주문에 사활…""수수료 인하 상생안 기대"""
생활,식품/음료,녹차 vs 말차...어떻게 다를까? - 코메디닷컴
농업/먹거리,농산물/작황,양배추 먹으면 가능하다고…작용 원리 밝혀냈다
경제,수수료/요금,올해부터 예금보호 한도 '1억'·중도상환 수수료 '인하'
경제,유통/리테일,외국인 편의점 최애상품 2위 바나나맛 우유…1위는?
경제,유통/프로모션,"파리바게뜨, '2025 베리 스페셜 딸기 페어' 진행 | 이포커스"
기타,기타,홍시처럼 달고 잡초처럼 강인한…테스형 나훈아의 노래인생 58년 | 연합뉴스
생활,레시피/요리,흑백요리사' 성우 되려면 이 정도 해야 하네…일어나자마자 코코넛오일→반야심경 줄줄('전참시')
농업/먹거리,농산물/작황,[밀당365] 냉장고 탈탈 털어~ 색다른 '채소 초밥' 어때요?
생활,식품/음료,"""""밤샘 시위 버텨보자""""…몸 녹이려 마신 '커피' '녹차' '술' 큰 일 납니다"
농업/먹거리,농산물/작황,"""""잠 잘 자려면?""""...취침 1시간 전 '이 과일' 먹어라?"
농업/먹거리,농산물/작황,[신상잇슈] 서울우유 '미노스 바나나우유'·빙그레 '쥬시쿨 제로'
농업/먹거리,농산물/작황,[심층] 1월 초인데 벌써 참외가 나왔다고?···경북 성주군에서는 2025년 참외 첫 출하가 이미 이뤄졌답니다
생활,식품/음료,"[주말엔 음식] """"유자차 건더기, 먹어도 될까요?"""""
경제,유통/리테일,"[출시] 복숭아 우롱티에 코코넛 알갱이..파리바게뜨, '피치 젤리 아이스티' | 한국정경신문"
생활,레시피/요리,"[한눈에 보는 시세] 단감, 생산량 늘어 약세지만 설 연휴 반등 전망"
생활,레시피/요리,"'맛남' 김동준, 훈제 오리 시금치 볶음…백종원 ""실력 많이 늘어"" < 연예 < 문화 < 기사본문 - 싱글리스트"
농업/먹거리,농산물/작황,올해 설 선물 과일세트-사과-소고기 순으로 선호… 5만원 이하
농업/먹거리,농산물/작황,"1㎏에 2만원 훌쩍, 그림의 金딸기 [인포로 본 세상]"
농업/먹거리,농산물/작황,"국립산림과학원, 원주 반계리 은행나무 수령 '1317년'"
농업/먹거리,농산물/작황,당근이 당뇨병 치료에 도움 될까?...쥐 실험 결과는 희망적
농업/먹거리,농산물/작황,딸기 뷔페·칵테일·빙수… 이번 주말에는 '딸기 파티'하러 호텔로
농업/먹거리,농산물/작황,맛만 좋은 줄 알았는데… 지금 먹어야 효과 제대로인 '겨울 과일'
산업,기업/산업동향,물·비료 덜 써도 농작물 생산량↑…한화도 수천억 베팅한 이 기술
농업/먹거리,농산물/작황,세계 3대 장수 식품' 중 하나인 양배추…이런 경우에는 먹지 마라 | 위키트리
농업/먹거리,농산물/작황,아침에 양배추 꾸준히 먹었더니...대장암 세포에 변화가?
생활,식품/음료,"엑스트라 버진'과 '퓨어', 올리브 오일의 등급이란 - 노컷뉴스"
농업/먹거리,농산물/작황,영하 13도에 참외가 나온다고?…첫 출하 현장 가보니 [르포]
농업/먹거리,농산물/작황,올해 설 선물 구매의향은? 과일 혼합세트·사과 순
농업/먹거리,농산물/작황,원주 반계리 은행나무 수령은 '1317년'
경제,물가/가격,"이천시, '농산물가공 상품개발 리빙랩' 소비자패널 평가회 진행"
정치,농정/정책,친환경벼 2·3등급도 공공비축용 매입
생활,레시피/요리,호텔업계 설 선물 프리미엄부터 가성비 세트까지… 탕국·모듬전 등 차례상 세트도
농업/먹거리,농산물/작황,"흑백요리사 급식대가, 오이무침에 의외의 '이것' 넣었다… 어떤 효능이?"
농업/먹거리,농산물/작황,"""""과일 값은 내렸는데""""…올해 4인가족 차례상 비용 '30만2000원'"
농업/먹거리,농산물/작황,"""""먹으면 뱃살 빼준다?""""...식탁에 올리면 좋은 채소들"
농업/먹거리,농산물/작황,"""""제철인데, 딸기주스가 안 팔려요""""…카페 사장님들 '한숨'"
농업/먹거리,농산물/작황,[킁킁과학] 군고구마에서 풍기는 달콤한 냄새의 정체
경제,물가/가격,"""설 차례상 비용 역대 가장 비싸""…채소류 가격↑"
기타,기타,"""아빠, 이사 안 가요?""…""집이 팔려야 가지"" [수민이가 궁금해요]"
농업/먹거리,농산물/작황,"""한파에 시설감자 이상 없어야 할텐데…"" 농작물 생육관리 긴급 전파"
농업/먹거리,농산물/작황,과일·채소 듬뿍 먹으려고 '이렇게' 하다간… 치아 망가진다
경제,수수료/요금,내일부터 중도상환수수료 인하…폐지는 왜 안 될까
농업/먹거리,농산물/작황,"녹차 재배 적지 북상.. """"2090년엔 전국 재배 가능"""""
경제,유통/리테일,바나나맛 우유 제쳤다… 외국인이 한국 편의점서 '싹쓸이'한 제품은?
생활,식품/음료,백향과 크림찰떡·고사리 장아찌·표고소금···설선물은 기발한 지역농식품으로
농업/먹거리,농산물/작황,"불로초, 제주 생산 감귤의 4%에만 부착되는 명품브랜드"
경제,수수료/요금,"상장사들, 자사주 직접 매입하지 왜 수수료 지급하며 신탁 맡길까... ""꼼수 조심하세요"""
농업/먹거리,농산물/작황,"송중기 이탈리아 집 대체 어떻길래 ""올리브나무 있어 오일 추출까지""(냉부해)"
경제,수수료/요금,"애플페이, 국내 교통카드 연동 '좌초'…수수료 협상이 관건"
농업/먹거리,농산물/작황,야채·콩 많이 먹으면 식중독에 덜 걸려...왜?
기타,기타,약 복용 중 '자몽 섭취 금지' 문구 사라질 수도
사회,사법/치안,"양곡법 거부, 체포도 거부... 거부의 시대에 만난 대학생-농민"
경제,수수료/요금,올해부터 특별재난지역 개인·소상공인 특허수수료 최대 90%↓
경제,물가/가격,점심 먹고 카페 갔다가 '깜짝'…밥값 보다 '딸기 케이크' 가격이 더 비싸네?
사회,사법/치안,"중국산 나물 구분하려면?…""""설 명절, 제수용품 원산지 확인 꼭"""""
농업/먹거리,농산물/작황,"철원에서 5년째 파프리카 농사, ""잠시 쉬러 온 고향에 뼈를 묻기로 했죠""[서영아의 100세 카페]"
농업/먹거리,농산물/작황,"""""쌀 재배 면적 강제로 줄이라니"""".. 전농 전북도연맹, 철회 촉구"
농업/먹거리,농산물/작황,"""""채솟값 올라 콩나물만 사요""""… '기후플레이션'은 평등하지 않다 | 한국일보"
산업,기술/산업,[CES 2025] AI 식물 재배·로봇 수확기까지…미래 농업에 '한발짝 더'
경제,수수료/요금,"[이슈플러스] 배민·쿠팡이츠, 수수료 동일해졌다…내년 본격 마케팅 경쟁 예고 - 전자신문"
사회,사건/사고,"""과일주스·탄산음료로 연 33만 명 사망""… '제로○○'은 안전할까?"
농업/먹거리,농산물/작황,"""김치업체 보유분까지 푼다"" 배추 물량 얼마나 적길래?"
농업/먹거리,농산물/작황,"""사과 쓰지 마! 배도 안돼"" '상표권 깡패' 애플, 소송만 수백 건 - 헤럴드경제"
농업/먹거리,농산물/작황,"""어쩐지 안보이더라"" 제철인데도 자취 감춘 '이 과일'"
경제,물가/가격,"1.5배 치솟은 마른김 가격…수산물값, 농산물값보다 더 뛰어"
경제,물가/가격,"2TV 생생정보 가격파괴WHY' 3500원 버섯칼굿수, 시장 상인 원핏 맛집 '어디?'"
경제,물가/가격,"국민 반찬' 마른김 가격 폭등…수산물값, 농산물보다 더 뛰어"
경제,수수료/요금,금융권 13일부터 중도상환수수료 절반으로
경제,물가/가격,농업인 직불금 5% 인상... '금배추' 비축기간은 3개월로 연장
경제,물가/가격,딸기 디저트' 비싸서 먹기 꺼렸는데…놀라운 소식 전해졌다
농업/먹거리,농산물/작황,"마른김 한장 100→150원, 1년새 1.5배↑…수산물값, 농산물보다 더 뛰어"
농업/먹거리,농산물/작황,설 앞두고 배추 등 농산물 1만 톤 푼다…배·귤도 확대공급
사회,사건/사고,시청역 역주행 희생자에 '토마토 주스' 조롱한 남성 '불기소'
농업/먹거리,농산물/작황,"오늘N' 오늘방송맛집- 할매 식당, 보리밥 맛집 '원○○○○○○' - 이투데이"
농업/먹거리,농산물/작황,온라인도매시장 통해 농산물 6000t 규모 지원
